YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2019,2019,HI,Hawaii,NVSS,Asthma,Asthma mortality rate,,Number,Number,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-157.85774940299973 21.304850435000446),,15,AST,AST4_1,NMBR,RACE,API,,,,
2017,2017,WY,Wyoming,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Crude Rate,,,-,No data available,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-108.10983035299967 43.23554134300048),,56,AST,AST3_1,CRDRATE,RACE,AIAN,,,,
2018,2018,HI,Hawaii,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-157.85774940299973 21.304850435000446),,15,AST,AST4_1,CRDRATE,RACE,BLK,,,,
2012,2012,LA,Louisiana,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,,,~,Data not shown because of too few respondents or cases,,,Gender,Female,,,,,POINT (-92.44568007099969 31.31266064400046),,22,AST,AST4_1,CRDRATE,GENDER,GENF,,,,
2014,2014,ME,Maine,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-68.98503133599962 45.254228894000505),,23,AST,AST4_1,CRDRATE,RACE,BLK,,,,
2018,2018,NM,New Mexico,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-106.24058098499967 34.52088095200048),,35,AST,AST4_1,AGEADJRATE,RACE,WHT,,,,
2020,2020,AL,Alabama,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Age-adjusted Rate,24.8,24.8,,,16.7,35.4,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),,01,AST,AST4_1,AGEADJRATE,RACE,BLK,,,,
2015,2015,LA,Louisiana,NVSS,Asthma,Asthma mortality rate,,,Number,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-92.44568007099969 31.31266064400046),,22,AST,AST4_1,NMBR,RACE,AIAN,,,,
2016,2016,NC,North Carolina,NVSS,Asthma,Asthma mortality rate,,,Number,103,103,,,,,Overall,Overall,,,,,POINT (-79.15925046299964 35.466220975000454),,37,AST,AST4_1,NMBR,OVERALL,OVR,,,,
2017,2017,KY,Kentucky,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Crude Rate,4.74,4.74,,,4.46,5.02,Gender,Female,,,,,POINT (-84.77497104799966 37.645970271000465),,21,AST,AST3_1,CRDRATE,GENDER,GENF,,,,
