year,title_field,value
2014,Median household income,60497
2013,Median household income,54700
2012,Median household income,56794
2011,Median household income,56843
2010,Median household income,52950
2009,Median household income,57166
2008,Median household income,56079
2014,Median gross rent,1189
2013,Median gross rent,1166
2012,Median gross rent,1172
2011,Median gross rent,1126
2010,Median gross rent,1123
2009,Median gross rent,1105
2008,Median gross rent,1060
2014,Total Population 5 years and over,259976
2014,Income in the past 12 months below poverty level,49958
2014,Income in the past 12 months below poverty level - Male,19784
2014,Income in the past 12 months below poverty level - Male - Under 5 years,1795
2014,Income in the past 12 months below poverty level - Male - 5 years,297
2014,Income in the past 12 months below poverty level - Male - 6 to 11 years,2340
2014,Income in the past 12 months below poverty level - Male - 12 to 14 years,645
2014,Income in the past 12 months below poverty level - Male - 15 years,190
2014,Income in the past 12 months below poverty level - Male - 16 and 17 years,455
2014,Income in the past 12 months below poverty level - Male - 18 to 24 years,2966
2014,Income in the past 12 months below poverty level - Male - 25 to 34 years,3049
2014,Income in the past 12 months below poverty level - Male - 35 to 44 years,1900
2014,Income in the past 12 months below poverty level - Male - 45 to 54 years,2963
2014,Income in the past 12 months below poverty level - Male - 55 to 64 years,1969
2014,Income in the past 12 months below poverty level - Male - 65 to 74 years,467
2014,Income in the past 12 months below poverty level - Male - 75 years and over,748
2014,Income in the past 12 months below poverty level - Female,30174
2014,Income in the past 12 months below poverty level - Female - Under 5 years,1944
2014,Income in the past 12 months below poverty level - Female - 5 years,377
2014,Income in the past 12 months below poverty level - Female - 6 to 11 years,2808
2014,Income in the past 12 months below poverty level - Female - 12 to 14 years,1774
2014,Income in the past 12 months below poverty level - Female - 15 years,372
2014,Income in the past 12 months below poverty level - Female - 16 and 17 years,869
2014,Income in the past 12 months below poverty level - Female - 18 to 24 years,3310
2014,Income in the past 12 months below poverty level - Female - 25 to 34 years,6595
2014,Income in the past 12 months below poverty level - Female - 35 to 44 years,3305
2014,Income in the past 12 months below poverty level - Female - 45 to 54 years,3033
