date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id
2017-03-21,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,TX,77075,Older American,N/A,Phone,2017-03-21,Closed with non-monetary relief,true,No,2397100
2017-04-19,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not disclosed as an attempt to collect,,,"Security Credit Services, LLC",IL,60643,,,Web,2017-04-20,Closed with explanation,true,No,2441777
2017-04-19,Credit card,,Other,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",IL,62025,,N/A,Referral,2017-04-20,Closed with explanation,true,No,2441830
2017-04-14,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",CA,90305,,N/A,Referral,2017-04-14,Closed with explanation,true,No,2436165
2017-04-19,Credit card,,Credit determination,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,LA,70571,,N/A,Postal mail,2017-04-21,Closed with explanation,true,No,2441726
2017-04-18,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"Rubin & Rothman, LLC",NY,14063,,N/A,Referral,2017-04-19,In progress,true,No,2440364
2017-04-18,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,"QUICKEN LOANS, INC.",FL,33772,Older American,N/A,Referral,2017-04-19,In progress,true,No,2441409
2016-05-18,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",NJ,08618,,N/A,Referral,2016-05-23,Closed with explanation,true,No,1931957
2017-03-17,Bank account or service,Checking account,"Making/receiving payments, sending money",,,Company believes it acted appropriately as authorized by contract or law,UNITED SERVICES AUTOMOBILE ASSOCIATION,WI,54005,,N/A,Referral,2017-03-20,Closed with explanation,true,No,2393048
2016-11-18,Mortgage,Conventional fixed mortgage,Settlement process and costs,,"Started the refinance of home mortgage process with cash out option on XX/XX/2016. Necessary documents were submitted by XXXX. After initial review, got good faith estimate with loan amount and closing cost. Based on this estimate, a deposit of {$350.00} was made towards appraisal. Appraisal came with lesser amount by {$5000.00}. Agreed to reduce the loan amount to that extent. However, got a revised estimate which was less by {$30000.00} and with additional closing cost towards points etc. In between got numerous revised estimates with different loan amounts and closing cost. It took more than 2 months to reach any definite closing document. Hence, want to get back the deposit of {$350.00}.",,AMERICAN NEIGHBORHOOD MORTGAGE,NJ,088XX,,Consent provided,Web,2016-11-21,Closed with monetary relief,false,No,2216206
