year,title_field,value
2014,Total Population,262146
2014,Male Population,128065
2014,Male Under 5 years,9947
2014,Male 5 to 9 years,6188
2014,Male 10 to 14 years,5989
2014,Male 15 to 17 years,3356
2014,Male 18 and 19 years,2969
2014,Male 20 years,1487
2014,Male 21 years,1021
2014,Male 22 to 24 years,7068
2014,Male 25 to 29 years,15304
2014,Male 30 to 34 years,14470
2014,Male 35 to 39 years,12655
2014,Male 40 to 44 years,9584
2014,Male 45 to 49 years,8021
2014,Male 50 to 54 years,7550
2014,Male 55 to 59 years,5257
2014,Male 60 and 61 years,2490
2014,Male 62 to 64 years,5282
2014,Male 65 and 66 years,1874
2014,Male 67 to 69 years,1963
2014,Male 70 to 74 years,1857
2014,Male 75 to 79 years,2297
2014,Male 80 to 84 years,1104
2014,Male 85 years and over,332
2014,Female Population,134081
2014,Female Under 5 years,9897
2014,Female 5 to 9 years,8260
2014,Female 10 to 14 years,6836
2014,Female 15 to 17 years,4348
2014,Female 18 and 19 years,2037
2014,Female 20 years,1661
2014,Female 21 years,2016
2014,Female 22 to 24 years,6784
2014,Female 25 to 29 years,14051
2014,Female 30 to 34 years,13875
2014,Female 35 to 39 years,10847
2014,Female 40 to 44 years,9644
2014,Female 45 to 49 years,7179
2014,Female 50 to 54 years,8125
2014,Female 55 to 59 years,7140
2014,Female 60 and 61 years,2349
2014,Female 62 to 64 years,3531
2014,Female 65 and 66 years,2130
2014,Female 67 to 69 years,3002
2014,Female 70 to 74 years,4368
2014,Female 75 to 79 years,2966
2014,Female 80 to 84 years,1057
2014,Female 85 years and over,1978
2013,Total Population,257345
2013,Male Population,125879
2013,Male Under 5 years,9116
2013,Male 5 to 9 years,6749
2013,Male 10 to 14 years,6833
2013,Male 15 to 17 years,4342
2013,Male 18 and 19 years,2701
2013,Male 20 years,2059
2013,Male 21 years,1456
2013,Male 22 to 24 years,6241
2013,Male 25 to 29 years,13060
2013,Male 30 to 34 years,15471
2013,Male 35 to 39 years,12088
2013,Male 40 to 44 years,8562
2013,Male 45 to 49 years,8614
2013,Male 50 to 54 years,7271
2013,Male 55 to 59 years,6870
2013,Male 60 and 61 years,1443
2013,Male 62 to 64 years,2993
2013,Male 65 and 66 years,2312
2013,Male 67 to 69 years,2338
2013,Male 70 to 74 years,2538
2013,Male 75 to 79 years,1546
2013,Male 80 to 84 years,925
2013,Male 85 years and over,351
2013,Female Population,131466
2013,Female Under 5 years,9102
2013,Female 5 to 9 years,8542
2013,Female 10 to 14 years,6180
2013,Female 15 to 17 years,3733
2013,Female 18 and 19 years,2041
2013,Female 20 years,1279
2013,Female 21 years,1485
2013,Female 22 to 24 years,6830
2013,Female 25 to 29 years,13887
2013,Female 30 to 34 years,15091
2013,Female 35 to 39 years,9995
2013,Female 40 to 44 years,8758
2013,Female 45 to 49 years,8815
2013,Female 50 to 54 years,7707
2013,Female 55 to 59 years,7732
2013,Female 60 and 61 years,2554
2013,Female 62 to 64 years,3331
2013,Female 65 and 66 years,2273
2013,Female 67 to 69 years,2575
2013,Female 70 to 74 years,2965
2013,Female 75 to 79 years,2898
2013,Female 80 to 84 years,1908
2013,Female 85 years and over,1785
2012,Total Population,254444
2012,Male Population,124851
2012,Male Under 5 years,8605
2012,Male 5 to 9 years,7172
2012,Male 10 to 14 years,6879
2012,Male 15 to 17 years,3542
2012,Male 18 and 19 years,2662
2012,Male 20 years,1765
2012,Male 21 years,1703
2012,Male 22 to 24 years,5752
2012,Male 25 to 29 years,14231
2012,Male 30 to 34 years,14847
2012,Male 35 to 39 years,10220
2012,Male 40 to 44 years,8716
2012,Male 45 to 49 years,8422
2012,Male 50 to 54 years,8233
2012,Male 55 to 59 years,6023
2012,Male 60 and 61 years,3091
2012,Male 62 to 64 years,3226
2012,Male 65 and 66 years,1461
2012,Male 67 to 69 years,1779
2012,Male 70 to 74 years,2781
2012,Male 75 to 79 years,1542
2012,Male 80 to 84 years,1280
2012,Male 85 years and over,919
2012,Female Population,129593
2012,Female Under 5 years,8980
2012,Female 5 to 9 years,7535
2012,Female 10 to 14 years,6162
2012,Female 15 to 17 years,4098
2012,Female 18 and 19 years,2635
2012,Female 20 years,1520
2012,Female 21 years,1522
2012,Female 22 to 24 years,6511
2012,Female 25 to 29 years,14129
2012,Female 30 to 34 years,13725
