Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,RowID,case_location,Analysis Neighborhoods
221210313,E36,22054955,Outside Fire,05/01/2022,04/30/2022,05/01/2022 02:58:25 AM,05/01/2022 02:59:15 AM,05/01/2022 02:59:25 AM,05/01/2022 03:01:06 AM,05/01/2022 03:02:27 AM,,,Fire,05/01/2022 03:05:00 AM,GOUGH ST/GROVE ST,San Francisco,94102,B02,36,3265,3,3,3,true,Fire,1,ENGINE,1,2,5,Hayes Valley,221210313-E36,POINT (-122.42316555403964 37.77781524520032),9
220190150,E29,22008871,Alarms,01/19/2022,01/18/2022,01/19/2022 01:42:12 AM,01/19/2022 01:44:13 AM,01/19/2022 01:44:28 AM,01/19/2022 01:46:47 AM,01/19/2022 01:49:32 AM,,,Fire,01/19/2022 02:35:26 AM,100 Block of MISSISSIPPI ST,San Francisco,94107,B03,29,2431,3,3,3,true,Alarm,1,ENGINE,1,3,10,Potrero Hill,220190150-E29,POINT (-122.39469970274361 37.76460987856451),26
211233271,T07,21053032,Alarms,05/03/2021,05/03/2021,05/03/2021 09:28:12 PM,05/03/2021 09:28:12 PM,05/03/2021 09:28:17 PM,05/03/2021 09:29:10 PM,05/03/2021 09:32:15 PM,,,Fire,05/03/2021 09:38:09 PM,0 Block of HOFF ST,San Francisco,94110,B02,07,5236,A,3,3,false,Alarm,1,TRUCK,2,2,9,Mission,211233271-T07,POINT (-122.42057572093252 37.76418194637148),20
212933533,B02,21127914,Alarms,10/20/2021,10/20/2021,10/20/2021 10:08:47 PM,10/20/2021 10:09:53 PM,10/20/2021 10:10:07 PM,10/20/2021 10:11:55 PM,,,,Fire,10/20/2021 10:25:52 PM,200 Block of JONES ST,San Francisco,94102,B03,03,1456,3,3,3,false,Alarm,1,CHIEF,3,3,6,Tenderloin,212933533-B02,POINT (-122.41243514072728 37.78347684038771),36
221202543,E41,22054815,Alarms,04/30/2022,04/30/2022,04/30/2022 06:35:58 PM,04/30/2022 06:37:28 PM,04/30/2022 06:37:43 PM,04/30/2022 06:38:17 PM,,,,Fire,04/30/2022 06:40:08 PM,1400 Block of FILBERT ST,San Francisco,94109,B04,16,3146,3,3,3,false,Alarm,1,ENGINE,4,4,2,Russian Hill,221202543-E41,POINT (-122.4233369425531 37.799534868680034),32
211232439,B01,21052945,Alarms,05/03/2021,05/03/2021,05/03/2021 04:57:21 PM,05/03/2021 04:58:39 PM,05/03/2021 04:58:44 PM,05/03/2021 05:00:27 PM,,,,Fire,05/03/2021 05:05:20 PM,500 Block of JONES ST,San Francisco,94102,B01,03,1462,3,3,3,false,Alarm,1,CHIEF,2,1,6,Tenderloin,211232439-B01,POINT (-122.41299723589606 37.78626844171642),36
211942517,T03,21083057,Alarms,07/13/2021,07/13/2021,07/13/2021 04:50:10 PM,07/13/2021 04:51:07 PM,07/13/2021 04:51:17 PM,,,,,Fire,07/13/2021 04:54:45 PM,900 Block of VAN NESS AVE,San Francisco,94109,B04,03,3162,3,3,3,false,Alarm,1,TRUCK,3,2,6,Tenderloin,211942517-T03,POINT (-122.42090696864193 37.784067668377766),36
212932758,B01,21127810,Alarms,10/20/2021,10/20/2021,10/20/2021 05:46:09 PM,10/20/2021 05:47:57 PM,10/20/2021 05:48:05 PM,10/20/2021 05:49:54 PM,10/20/2021 05:53:45 PM,,,Fire,10/20/2021 06:00:04 PM,0 Block of BEACH ST,San Francisco,94133,B01,28,0939,3,3,3,false,Alarm,1,CHIEF,2,1,3,North Beach,212932758-B01,POINT (-122.40987728293031 37.808050096906186),23
221201816,T03,22054719,Structure Fire,04/30/2022,04/30/2022,04/30/2022 02:27:39 PM,04/30/2022 02:28:53 PM,04/30/2022 02:29:13 PM,04/30/2022 02:31:58 PM,04/30/2022 02:31:58 PM,,,Fire,04/30/2022 02:46:15 PM,MISSION ST/9TH ST,San Francisco,94103,B02,36,2336,3,3,3,false,Alarm,1,TRUCK,3,2,6,South of Market,221201816-T03,POINT (-122.41471100467277 37.77623051778801),34
211941580,SCRT4,21082970,Medical Incident,07/13/2021,07/13/2021,07/13/2021 12:23:31 PM,07/13/2021 12:28:02 PM,07/13/2021 12:47:21 PM,07/13/2021 12:47:21 PM,,,,SFPD,07/13/2021 12:48:46 PM,100 Block of VICENTE ST,San Francisco,94127,B08,39,8612,1,1,2,false,Non Life-threatening,1,SUPPORT,1,8,7,West of Twin Peaks,211941580-SCRT4,POINT (-122.46750730609165 37.73983589352891),41
