YEAR,MONTH,BENE_GEO_LVL,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,AGED_TOT_BENES,AGED_ESRD_BENES,AGED_NO_ESRD_BENES,DSBLD_TOT_BENES,DSBLD_ESRD_AND_ESRD_ONLY_BENES,DSBLD_NO_ESRD_BENES,A_B_TOT_BENES,A_B_ORGNL_MDCR_BENES,A_B_MA_AND_OTH_BENES,PRSCRPTN_DRUG_TOT_BENES,PRSCRPTN_DRUG_PDP_BENES,PRSCRPTN_DRUG_MAPD_BENES,PRSCRPTN_DRUG_DEEMED_ELIGIBLE_FULL_LIS_BENES,PRSCRPTN_DRUG_FULL_LIS_BENES,PRSCRPTN_DRUG_PARTIAL_LIS_BENES,PRSCRPTN_DRUG_NO_LIS_BENES
2023,Year,National,US,National,Total,     ,58457244,38667830,19789414,49678033,278642.0,49399391,8779211.0,258366.0,8520845.0,53008234,33242085,19766149,42728443,25243684,17484759,10856130,1014289.0,383811.0,30474213
2023,Year,State,AL,Alabama,Total,01,1007423.0,640531.0,366892.0,781833.0,4987.0,776847.0,225590.0,5685.0,219905.0,935026.0,568207.0,366819.0,721687.0,373487.0,348200.0,214924.0,31463.0,10706.0,464594.0
2023,Year,County,AL,Alabama,Autauga,01001,10510.0,5784.0,4725.0,8046.0,48.0,7998.0,2463.0,56.0,2407.0,9810.0,5085.0,4725.0,7009.0,2396.0,4613.0,2034.0,296.0,108.0,4571.0
2023,Year,County,AL,Alabama,Baldwin,01003,48910.0,28388.0,20522.0,41590.0,146.0,41444.0,7320.0,113.0,7208.0,45818.0,25302.0,20516.0,34959.0,15298.0,19661.0,5835.0,977.0,383.0,27763.0
2023,Year,County,AL,Alabama,Barbour,01005,6275.0,4372.0,1903.0,4706.0,52.0,4654.0,1569.0,54.0,1515.0,5878.0,3975.0,1903.0,4649.0,2828.0,1821.0,1833.0,276.0,79.0,2461.0
2023,Year,County,AL,Alabama,Bibb,01007,4840.0,2480.0,2360.0,3389.0,21.0,3369.0,1451.0,34.0,1416.0,4553.0,2194.0,2359.0,3602.0,1403.0,2199.0,1275.0,238.0,77.0,2012.0
2023,Year,County,AL,Alabama,Blount,01009,12286.0,6070.0,6215.0,9542.0,38.0,9504.0,2744.0,22.0,2722.0,11570.0,5355.0,6215.0,9583.0,3523.0,6060.0,2380.0,408.0,169.0,6627.0
2023,Year,County,AL,Alabama,Bullock,01011,2008.0,1259.0,749.0,1434.0,20.0,1415.0,574.0,15.0,559.0,1840.0,1091.0,749.0,1571.0,841.0,730.0,793.0,123.0,32.0,623.0
2023,Year,County,AL,Alabama,Butler,01013,4755.0,3748.0,1007.0,3571.0,30.0,3541.0,1184.0,45.0,1140.0,4464.0,3457.0,1007.0,3592.0,2626.0,966.0,1394.0,214.0,51.0,1934.0
2023,Year,County,AL,Alabama,Calhoun,01015,27024.0,20110.0,6914.0,20142.0,125.0,20017.0,6882.0,141.0,6740.0,24953.0,18039.0,6913.0,16854.0,10498.0,6355.0,5924.0,849.0,286.0,9795.0
