County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
Cattaraugus,040032,Store,JAC,HORRIGAN SONS INC,SAVE A LOT,12179,RT 16,,,CHAFFEE,NY,14030,13000,
Cayuga,722074,Store,A,SOPER MARK A,BRADFORD DELIGHTS,1579,CLARK ST FNGLKS MALL,,,AUBURN,NY,13021,1500,
Chemung,748019,Store,A,TJX INC,HOME GOODS #1046,830,COUNTY RTE 64,,,ELMIRA,NY,14903,7000,
Dutchess,135447,Store,JAC,CUMBERLAND FARMS INC,CUMBERLAND FARMS 1594,3205,MAIN ST,,,DOVER PLAINS,NY,12522,2500,
Franklin,733439,Store,JAC,ZIMMERMAN NATHAN,RUFF ACRES ROADSIDE MRK,1442,CTY RTE  8,,,NORTH BANGOR,NY,12966,450,
Greene,751134,Store,A,NOTCH MARKET INC,NOTCH MARKET,7261,ROUTE 23A,,,HUNTER,NY,12442,0,
Lewis,230083,Store,JAC,M&L BURKE ENTERPRISES INC,HILLTOP MARKET,1187,NYS RT 26,,,WEST LEYDEN,NY,13489,0,
Monroe,261167,Store,A,ALDI INC,ALDI 76,615,JEFFERSON RD,,,HENRIETTA,NY,14467,0,
Niagara,290312,Store,JABCKO,SCHWAB FARM LLC,SCHWAB FARM,9004,TELEGRAPH RD  RT 31,,,GASPORT,NY,14067,5000,
Onondaga,703934,Store,A,THOMAS & SONS INC,THOMAS & SON'S,9236,OSWEGO RD RT 48,,,BALDWINSVILLE,NY,13027,4000,
Orange,744919,Store,JAC,WALI NB INC,WALI NB,4331,ROBINSON AVENUE,,,NEWBURGH,NY,12550,1000,
Orange,336288,Store,JABC,JAYS MARKET INC,JAYS DELI,534,RT 32,,,HIGHLAND MILLS,NY,10930,4500,
Rockland,390526,Store,JAC,RANK CORP,SEVENDAYS EXPRESS,207-4,RT 59 W,,,SPRING VALLEY,NY,10977,1800,
Rockland,395601,Store,JACO,DAVIES JANET M,DR DAVIES FARM,70,DR DAVIES RD,,,CONGERS,NY,10920,2000,
Suffolk,472428,Store,JACH,SANG LEE FARMS INC,SANG LEE FARMS,25180,COUNTY RD 48,,,PECONIC,NY,11958,1000,
Suffolk,730519,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL  #19227,660,N WELLWOOD AVE,,,LINDENHURST,NY,11757,2200,
Warren,749400,Store,JAC,GLOBAL MONTELLO GROUP CORP,XTRA MART,3586,RT 9,,,LAKE GEORGE,NY,12845,0,
Wayne,540083,Store,A,ALDI INC,ALDI 07,20,NYS RT 31,,,LYONS,NY,14489,6000,
Westchester,733416,Store,A,GLORY 99C INC,GLORY 99C,2-4,4TH AVE,,,MOUNT VERNON,NY,10550,2000,
Bronx,741677,Store,JAC,K & E MOBIL LLC,K & E MOBIL,1764,DR. MARTIN LUTHER KING JR BL,,,BRONX,NY,10453,0,
Bronx,745227,Store,A,M&S CANDY GROCERY CORP,M&S CANDY GROCERY,790,E 152 STREET,,,BRONX,NY,10455,600,
Kings,735474,Store,JAC,MARCY DELI & GRILL CORP,MARCY DELI & GRILL,499,MARCY AVE,,,BROOKLYN,NY,11206,2000,
Kings,738264,Store,A,NPA PHARMACEUTICALS LLC,THRIFTCARE PHARMACY,1717,FOSTER AVE,,,BROOKLYN,NY,11230,2500,
Kings,740967,Store,A,I & B PHARMACY INC,MAIN PHARMACY,2350,86TH TREET,,,BROOKLYN,NY,11214,1500,
Kings,709376,Store,A,TAVAREZ LUIS,LOUIES,241B,S 3RD ST,,,BROOKLYN,NY,11211,600,POINT (-73.957731 40.710767)
Kings,714907,Store,A,MUAMER INC,MUAMER,776,E 80TH ST,,,BROOKLYN,NY,11236,1500,POINT (-73.913435 40.635646)
Kings,718973,Store,JAC,BALS BAGELS INC,BALS BAGELS,195-197,HAVERMEYER,,,BROOKLYN,NY,11211,0,
Kings,711380,Store,A,KISI CORP,HEALTH CHOICE PHARMACY,3735,NOSTRAND AVE,,,BROOKLYN,NY,11235,1600,
New York,738803,Store,JAC,OSWALD CO LTD,OSWALD CO,1580,PARK AVE KITCHEN 3,,,NEW YORK,NY,10029,0,
New York,625174,Store,A,CVS ALBANY LLC,CVS PHARMACY 02671,750,AVENUE OF AMERICAS,,,NEW YORK,NY,10010,10250,
New York,730366,Store,JAC,PC4WEST INC,SUNAC,4,W 18TH ST,,,NEW YORK,NY,10011,0,POINT (-73.992562 40.738804)
Queens,749357,Store,A,GB LICENSE LLC,GOPUFF 541,133-40,79TH ST UNIT E,,,HOWARD BEACH,NY,11414,2000,
Queens,670736,Store,JAC,J MART GROUP INC,J MART,40-19,MAIN ST,,,FLUSHING,NY,11354,20000,
Queens,717923,Store,A,HAPPY BEBE CORP,HAPPY BEBE,37-41,103 ST,,,CORONA,NY,11368,800,
Bronx,733520,Store,A,5235 BROADWAY INC,BRADWAY DEALS,5237,BROADWAY,,,BRONX,NY,10463,0,POINT (-73.908844 40.875428)
Steuben,702572,Store,JAC,EBERSOL MARY B,RIVER RD VARIETY STORE,11501,CR 119,,,ADDISON,NY,14801,2000,
Suffolk,474732,Store,A,295 LDB CORP,THE BARN,295,LAKE AVE,,,ST JAMES,NY,11780,1000,POINT (-73.156641 40.877844)
Westchester,552008,Store,JAC,ANDREAS FOOD MARKET INC,ANDREAS FOOD MARKET,41,LAKE ST,,,WHITE PLAINS,NY,10603,0,POINT (-73.75973 41.03802)
Dutchess,704077,Store,JAC,GURUSAI CORP,GARDEN STREET DELI,75,GARDEN ST.,,,POUGHKEEPSIE,NY,12601,1400,POINT (-73.925786 41.706587)
Orange,330656,Store,JABC,SHOP-RITE SUPERMARKETS INC,SHOPRITE #272  MIDDLETO,125,DOLSON AVE,,,MIDDLETOWN,NY,10940,35000,POINT (-74.424781 41.429777)
Queens,740277,Store,JAC,SAMMY GRILL & JUICE BAR CORP,SAMMY GRILL & JUICE BAR,159-02,HILLSIDE AVENUE,,,JAMAICA,NY,11432,0,POINT (-73.802432 40.707775)
Broome,035567,Store,JABC,CIDER MILL LLC THE,CIDER MILL THE,2-6,S NANTICOKE AVE,,,ENDICOTT,NY,13760,10000,POINT (-76.065519 42.098484)
Westchester,743316,Store,JAC,FRESH FOOD DELI & GRILL CORP,FRESH FOOD DELI & GRILL,97,YONKERS AVE,,,YONKERS,NY,10701,0,POINT (-73.885897 40.935331)
Kings,726868,Store,JAC,NOSTRAND FINEST DELI INC,NOSTRAND FINEST DELI,792,NOSTRAND AVE,,,BROOKLYN,NY,11216,1500,POINT (-73.950342 40.671518)
New York,739043,Store,JAC,245 EMPIRE GROCERY & DELI CORP,245 EMPIRE GROCERY & DE,245,9TH AVENUE,,,NEW YORK,NY,10001,0,POINT (-74.00042 40.747717)
Bronx,604384,Store,JAC,LONGWOOD ONE FISH CORP,LONGWOOD ONE FISH,838,WESTCHESTER AVE,,,BRONX,NY,10455,1000,POINT (-73.901735 40.819627)
Kings,615869,Store,JAC,KOLLEL FOOD INC,EMPIRE KOSHER SUPERMRKT,529,EMPIRE BLVD,,,BROOKLYN,NY,11225,3000,POINT (-73.944421 40.664153)
Kings,737113,Store,JAC,764 RAFI DELI GROCERY INC,764 RAFI DELI GROCERY,764,SNEDIKER AVENUE,,,BROOKLYN,NY,11207,600,POINT (-73.897541 40.655837)
